Lemma,Most Common Form,Frequency,Total Occurrences
",",",",27447,27447
in,in,25023,25026
city,city,18219,18692
of,of,10032,10033
United,United,8896,8896
States,States,8848,8848
County,County,7577,7577
town,town,4492,4574
the,the,3387,3405
ancient,ancient,2728,2933
and,and,2736,2739
settlement,settlement,2482,2491
human,human,2215,2218
Germany,Germany,2106,2106
America,America,1884,1884
municipality,municipality,1751,1764
-,-,1658,1666
county,county,1132,1363
capital,capital,1212,1216
seat,seat,1135,1139
Texas,Texas,981,981
Poland,Poland,971,971
district,district,967,967
Iowa,Iowa,950,950
USA,USA,949,949
Province,Province,947,947
North,North,864,864
Minnesota,Minnesota,860,860
Japan,Japan,816,816
Missouri,Missouri,680,680
state,state,649,656
Kansas,Kansas,624,624
Prefecture,Prefecture,606,606
South,South,545,545
Dakota,Dakota,537,537
Greece,Greece,519,519
India,India,508,508
California,California,492,492
Georgia,Georgia,467,467
province,province,426,427
Kentucky,Kentucky,426,426
Indonesia,Indonesia,422,422
prefecture,prefecture,404,405
region,Region,243,392
Regency,Regency,374,374
place,place,357,366
site,site,322,360
greek,Greek,359,359
urban,urban,337,358
Hungary,Hungary,356,356
China,China,344,344
Turkey,Turkey,335,335
Spain,Spain,333,333
on,on,315,315
village,village,315,315
Arkansas,Arkansas,312,312
Argentina,Argentina,308,308
Washington,Washington,304,304
West,West,300,300
Illinois,Illinois,300,300
New,New,290,290
commune,commune,288,288
Roman,Roman,284,284
Michigan,Michigan,281,281
republic,Republic,275,281
Florida,Florida,275,275
Romania,Romania,272,272
Brazil,Brazil,270,270
Ohio,Ohio,258,258
Saxony,Saxony,254,254
level,level,251,251
France,France,249,249
Oregon,Oregon,245,245
peru,Peru,241,241
State,State,240,240
District,District,233,233
Portugal,Portugal,231,231
Rhine,Rhine,226,226
Westphalia,Westphalia,221,221
Mexico,Mexico,221,221
Italy,Italy,217,217
archaeological,archaeological,215,215
township,township,190,212
gmina,gmina,212,212
),),208,208
Czech,Czech,208,208
Taiwan,Taiwan,207,207
(,(,207,207
Idaho,Idaho,207,207
former,former,188,195
Wisconsin,Wisconsin,193,193
Bavaria,Bavaria,192,192
Hesse,Hesse,190,190
Tennessee,Tennessee,189,189
a,a,125,187
Egypt,Egypt,186,186
Pakistan,Pakistan,182,182
Utah,Utah,181,181
Alabama,Alabama,180,180
Canada,Canada,179,179
Morocco,Morocco,176,176
Oklahoma,Oklahoma,176,176
Belgium,Belgium,166,166
Switzerland,Switzerland,164,164
Jefferson,Jefferson,164,164
Chile,Chile,161,161
historical,Historical,113,160
locate,located,157,159
rural,rural,135,159
Carolina,Carolina,155,155
Alaska,Alaska,153,153
central,central,151,153
Philippines,Philippines,152,152
Nebraska,Nebraska,150,150
area,area,84,149
de,de,146,147
Baden,Baden,145,145
Ecuador,Ecuador,144,144
Russia,Russia,142,142
coast,coast,142,142
St.,St.,141,141
San,San,139,139
Netherlands,Netherlands,136,136
canton,canton,135,135
southern,southern,111,135
Buenos,Buenos,134,134
Aires,Aires,134,134
cultural,cultural,131,133
Venezuela,Venezuela,131,131
Municipality,Municipality,130,130
Korea,Korea,129,129
modern,modern,127,128
-Württemberg,-Württemberg,126,126
Ethiopia,Ethiopia,125,125
Yemen,Yemen,124,124
largest,largest,123,124
Voivodeship,Voivodeship,122,122
Indiana,Indiana,120,120
Kreis,Kreis,120,120
East,East,120,120
lower,Lower,118,118
Virginia,Virginia,118,118
near,near,116,117
Tunisia,Tunisia,117,117
Mississippi,Mississippi,117,117
island,island,111,117
.,.,116,116
Central,Central,114,114
be,is,76,109
western,western,78,108
Caria,Caria,107,107
Landkreis,Landkreis,104,104
Punjab,Punjab,104,104
Bolivia,Bolivia,102,102
northern,northern,94,102
Bithynia,Bithynia,101,101
Thrace,Thrace,100,100
Los,Los,100,100
Arcadia,Arcadia,100,100
Ksar,Ksar,98,98
Australia,Australia,98,98
cuba,Cuba,98,98
suburb,suburb,91,97
Pradesh,Pradesh,97,97
Brandenburg,Brandenburg,97,97
Iran,Iran,95,95
Syria,Syria,94,94
/,/,93,93
Thessaly,Thessaly,93,93
Crete,Crete,93,93
eastern,eastern,84,92
England,England,89,89
Azerbaijan,Azerbaijan,88,88
Israel,Israel,88,88
Angeles,Angeles,88,88
heritage,heritage,71,87
Louis,Louis,87,87
Libya,Libya,86,86
Lake,Lake,86,86
port,port,85,85
Cameroon,Cameroon,84,84
Vietnam,Vietnam,84,84
southeastern,southeastern,81,84
Governorate,Governorate,83,83
Lithuania,Lithuania,82,82
Colorado,Colorado,82,82
ivory,ivory,82,82
Latvia,Latvia,82,82
Macedonia,Macedonia,82,82
U.S.,U.S.,81,81
São,São,81,81
Department,Department,81,81
coastal,coastal,76,79
York,York,78,78
Senegal,Senegal,78,78
Algeria,Algeria,78,78
Iraq,Iraq,77,77
Arabia,Arabia,77,77
by,by,77,77
Paulo,Paulo,77,77
Santa,Santa,76,76
part,part,72,76
name,name,58,75
polis,polis,75,75
property,property,74,74
Saudi,Saudi,74,74
Louisiana,Louisiana,72,72
provincial,provincial,69,71
to,to,71,71
north,north,70,71
small,small,66,71
italian,Italian,71,71
Congo,Congo,70,70
Thuringia,Thuringia,69,69
Oblast,Oblast,69,69
Bengal,Bengal,69,69
Wallonia,Wallonia,68,68
Phrygia,Phrygia,67,67
day,day,64,67
Columbia,Columbia,65,65
Republic,Republic,65,65
administrative,administrative,63,65
Bangladesh,Bangladesh,65,65
Malaysia,Malaysia,64,64
south,south,60,63
guinea,Guinea,62,62
with,with,62,62
's,'s,60,62
free,Free,56,62
Sulawesi,Sulawesi,62,62
unlocated,unlocated,61,61
monument,monument,61,61
division,division,52,60
Parish,Parish,60,60
Java,Java,60,60
Jackson,Jackson,60,60
Pennsylvania,Pennsylvania,59,59
