POS,Form,Frequency
PUNCT,",",27447
ADP,in,25016
NOUN,city,18219
ADP,of,10032
PROPN,United,8896
PROPN,States,8848
PROPN,County,7597
NOUN,town,4060
DET,the,3387
CCONJ,and,2736
ADJ,ancient,2730
NOUN,settlement,2482
ADJ,human,2215
PROPN,Germany,2106
PROPN,America,1884
NOUN,municipality,1751
PUNCT,-,1633
NOUN,seat,1135
NOUN,county,1132
PROPN,Texas,981
PROPN,Poland,971
PROPN,Iowa,950
PROPN,USA,949
PROPN,Province,946
NOUN,district,928
PROPN,North,865
PROPN,Minnesota,860
NOUN,capital,858
PROPN,Japan,816
PROPN,Missouri,680
NOUN,state,649
PROPN,Kansas,624
PROPN,Prefecture,602
PROPN,South,545
PROPN,Dakota,537
PROPN,Greece,514
PROPN,India,508
PROPN,California,492
PROPN,Georgia,467
ADP,town,432
NOUN,province,426
PROPN,Kentucky,426
PROPN,Indonesia,422
PROPN,Regency,381
PROPN,City,374
PROPN,Hungary,356
ADJ,capital,354
NOUN,place,344
PROPN,China,344
PROPN,Republic,340
ADJ,urban,337
PROPN,Turkey,335
PROPN,Spain,333
NOUN,site,322
ADP,on,315
NOUN,village,315
PROPN,Arkansas,312
PROPN,Argentina,308
PROPN,Washington,304
PROPN,Illinois,299
PROPN,New,290
PROPN,Michigan,281
NOUN,commune,279
ADJ,Greek,277
PROPN,West,276
PROPN,Florida,275
PROPN,Romania,272
PROPN,Brazil,270
ADJ,prefecture,262
PROPN,Ohio,258
PROPN,Saxony,254
NOUN,level,251
PROPN,France,249
PROPN,Region,245
PROPN,Oregon,245
PROPN,Peru,241
PROPN,District,233
PROPN,Portugal,231
PROPN,Rhine,225
ADJ,archaeological,215
PUNCT,),208
PUNCT,(,207
NOUN,counties,202
NOUN,gmina,201
NOUN,township,190
ADJ,former,188
VERB,located,157
ADJ,central,151
NOUN,region,149
NOUN,prefecture,142
NOUN,coast,142
ADJ,Ancient,141
ADJ,rural,135
ADJ,cultural,131
ADJ,modern,126
DET,a,125
ADJ,largest,123
NOUN,canton,121
PUNCT,.,116
ADP,near,115
ADJ,Historical,113
NOUN,island,111
ADJ,southern,111
NOUN,City,106
ADJ,northern,94
PUNCT,/,93
DET,Roman,93
NOUN,port,85
NOUN,Roman,85
NOUN,area,84
ADJ,eastern,83
ADJ,ivory,82
ADJ,southeastern,81
ADJ,western,78
ADP,by,77
AUX,is,76
ADJ,coastal,75
NOUN,Town,74
NOUN,property,74
NOUN,part,72
NOUN,heritage,71
ADJ,Italian,71
ADJ,provincial,69
NOUN,polis,67
ADJ,small,66
NOUN,day,64
ADJ,unlocated,63
ADJ,administrative,62
ADP,with,62
NOUN,monument,61
PART,'s,59
NOUN,name,58
NOUN,center,57
ADV,now,57
ADP,to,56
PUNCT,;,55
NOUN,Guinea,54
ADJ,independent,53
ADP,at,53
ADJ,Free,52
NOUN,division,52
NOUN,department,51
ADJ,German,51
CCONJ,or,50
NOUN,suburb,50
NOUN,comune,49
NOUN,State,49
DET,an,49
NOUN,colony,47
ADJ,historical,47
ADJ,Chilean,47
ADV,north,44
ADJ,present,43
NOUN,building,43
ADJ,Brazilian,42
NOUN,parish,42
ADV,south,41
NOUN,-level,39
NOUN,Voivodeship,39
VERB,subdistrict,36
NOUN,Pontus,36
ADJ,Indian,36
NOUN,powiat,35
NOUN,rights,35
ADP,between,35
VERB,mentioned,34
ADJ,historic,34
ADJ,Western,34
PRON,that,34
ADP,from,32
ADJ,Tunisian,32
ADJ,medieval,30
ADP,as,29
ADJ,regional,26
ADJ,municipal,26
ADJ,French,26
ADJ,northwestern,26
ADJ,same,25
SYM,-,25
ADJ,West,25
VERB,fortified,24
DET,metropolitan,24
ADJ,civil,24
ADJ,Egyptian,24
ADJ,southwestern,24
ADJ,Colombian,24
ADJ,fourth,24
PRON,which,23
VERB,suburb,23
ADP,during,23
VERB,known,21
VERB,consolidated,20
ADV,second,19
ADP,within,18
VERB,populated,18
DET,The,18
PRON,its,17
NUM,suburb,17
AUX,was,17
VERB,federated,15
NUM,one,15
ADV,west,15
PART,to,15
VERB,founded,14
PUNCT,"""",14
ADP,for,14
VERB,see,14
ADV,home,13
PART,d',13
NUM,1971,13
VERB,place,13
VERB,situated,13
ADV,entirely,13
VERB,inhabited,12
ADV,later,12
ADP,Lampung,11
VERB,ruined,11
ADV,possibly,11
SYM,urban-,11
VERB,named,11
ADP,borough,11
DET,An,11
VERB,attested,10
VERB,planned,10
X,de,10
VERB,resort,9
ADV,most,9
ADV,also,9
ADP,Town,9
PUNCT,:,9
PUNCT,Marburg-,9
X,mutatio,9
NUM,Byzantine,9
VERB,corresponding,9
VERB,submerged,9
ADP,do,8
ADP,until,8
AUX,metropolis,8
VERB,controlled,8
VERB,rule,8
AUX,polis,8
PRON,It,8
X,s,8
VERB,walled,8
PUNCT,–,8
PUNCT,',8
PART,nt,7
INTJ,titular,7
ADV,federally,7
ADP,under,7
VERB,census-designated,7
ADP,into,7
ADP,along,7
DET,suburban,7
X,la,7
AUX,do,7
VERB,recognized,7
VERB,lost,6
VERB,destroyed,6
NUM,frazione,6
ADV,formerly,6
AUX,acropolis,6
ADP,Belitung,6
NUM,Pune,6
INTJ,oppidum,6
VERB,existed,5
VERB,renamed,5
CCONJ,&,5
NUM,1945,5
ADV,hill,5
ADV,probably,5
VERB,incorporated,5
AUX,are,5
AUX,be,5
VERB,designated,5
VERB,claimed,5
SYM,sub-,4
PRON,acropolis,4
VERB,surrounding,4
ADV,nowadays,4
X,du,4
VERB,commune,4
VERB,called,4
ADP,since,4
NUM,1911,4
NUM,1949,4
ADV,only,4
SYM,causeway/,4
SYM,Ennepe-,4
SYM,Ruhr-,4
SYM,Erft-,4
SCONJ,in,4
ADV,highly,4
X,et,4
ADV,about,4
PRON,what,4
VERB,centered,4
PRON,whose,4
VERB,seaside,4
VERB,district,4
ADP,after,4
ADP,off,4
VERB,formed,4
X,Roman,3
ADV,Thessaly,3
ADV,as,3
ADV,in,3
CCONJ,And,3
NUM,20,3
X,démocratique,3
SYM,Arab-,3
SYM,Romano-,3
NUM,3,3
PUNCT,Győr-,3
NUM,six,3
NUM,14,3
CCONJ,both,3
ADV,currently,3
ADV,Also,3
ADV,where,3
ADV,well,3
ADV,far,3
X,en,3
VERB,built,3
VERB,abandoned,3
VERB,remains,3
VERB,annexed,3
PART,not,3
INTJ,Faso,3
ADP,In,3
NUM,1975,3
ADP,around,3
VERB,belonging,3
VERB,flooded,3
PRON,mine,3
ADP,or,3
AUX,Acropolis,3
PRON,it,3
PRON,i,3
NUM,10,3
VERB,became,3
PUNCT,Schleswig-,2
SYM,%,2
AUX,hillfort,2
ADP,ancestor,2
ADP,Canton,2
ADP,canton,2
PRON,harbour,2
AUX,s,2
PRON,Its,2
PUNCT,Borsod-,2
ADP,upon,2
ADP,Jabung,2
PUNCT,?,2
PUNCT,-',2
ADP,about,2
PUNCT,Kymi-,2
ADP,over,2
ADP,up,2
X,République,2
X,ville,2
X,Bereg,2
X,Szatmár-,2
SCONJ,for,2
VERB,Pradesh,2
PART,’s,2
PART,s,2
